,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
649810,2,16,6,1026,1020,1139,1120,17.0,2007.0,855.0,73,60,64,1,6,76.0,249.0,248,2,7,6,0,13,0,0
3550779,6,24,2,1233,1225,2117,2111,4.0,642.0,3249.0,344,346,303,0,8,259.0,150.0,2586,12,29,0,0,0,0,0
1057897,2,27,3,1546,1530,1803,1800,1.0,347.0,2096.0,197,210,162,0,16,79.0,81.0,1192,18,17,0,0,0,0,0
4173125,7,17,4,1845,1735,2031,1915,4.0,604.0,974.0,106,100,53,1,70,150.0,233.0,274,3,50,9,0,6,0,61
1848736,4,20,7,2004,1945,2057,2040,17.0,695.0,3858.0,53,55,42,1,19,243.0,204.0,180,4,7,4,0,0,0,13
5555858,10,20,1,1005,847,1041,922,14.0,5550.0,2768.0,36,35,23,1,78,196.0,258.0,77,3,10,0,0,78,0,1
7007008,12,11,4,1622,1610,1758,1746,6.0,1078.0,4712.0,156,156,123,1,12,18.0,249.0,874,7,26,0,0,0,0,0
176210,1,5,6,1604,1419,1741,1602,14.0,4041.0,4333.0,157,163,140,1,105,175.0,266.0,919,8,9,0,0,0,0,99
1179784,3,4,2,2018,1955,2057,2050,17.0,3753.0,1685.0,99,115,90,0,23,177.0,200.0,550,4,5,0,0,0,0,0
5432567,10,17,5,1217,1130,1657,1610,17.0,216.0,1299.0,160,160,140,1,47,220.0,175.0,1044,4,16,13,0,0,0,34
2696535,5,22,4,1255,1220,1432,1359,6.0,813.0,5195.0,97,99,76,1,35,18.0,79.0,547,7,14,33,0,0,0,0
5145159,9,19,5,1729,1717,1855,1840,7.0,4474.0,3793.0,86,83,59,1,12,75.0,18.0,366,15,12,0,0,3,0,12
3303042,6,22,7,1958,1950,2159,2143,6.0,998.0,5171.0,121,113,80,1,8,186.0,18.0,595,14,27,0,0,8,0,8
4288626,8,19,2,802,755,938,940,17.0,1632.0,3912.0,156,165,142,0,7,177.0,179.0,989,5,9,0,0,0,0,0
6553999,12,31,3,1809,1800,2242,2255,17.0,2360.0,4206.0,153,175,144,0,9,155.0,130.0,1235,2,7,0,0,0,0,0
6023185,11,28,5,2018,1950,2226,2200,17.0,2591.0,3081.0,68,70,57,1,28,209.0,220.0,325,4,7,0,0,0,0,26
525993,1,27,7,2116,2055,2253,2215,1.0,2284.0,3123.0,217,200,187,1,21,81.0,157.0,1235,15,15,0,21,17,0,0
1264727,3,30,7,1941,1900,2139,2105,17.0,40.0,3889.0,178,185,163,1,41,2.0,257.0,1180,5,10,10,0,0,0,24
6295084,11,18,2,1412,1355,1529,1525,11.0,3877.0,4779.0,137,150,121,0,17,294.0,81.0,772,6,10,0,0,0,0,0
1704591,3,7,5,1306,1240,1510,1430,1.0,2026.0,861.0,244,230,197,1,26,81.0,263.0,1438,4,43,26,0,14,0,0
5339820,9,19,5,1836,1830,2126,2139,4.0,193.0,3696.0,350,369,283,0,6,150.0,155.0,2248,11,56,0,0,0,0,0
3495693,6,25,3,1441,1415,1647,1555,1.0,1143.0,1820.0,186,160,154,1,26,87.0,81.0,987,18,14,9,0,26,0,17
4472261,8,17,7,2027,2006,2207,2142,15.0,553.0,2137.0,220,216,201,1,21,81.0,258.0,1464,7,12,0,0,4,0,21
588958,1,1,2,2020,1954,2254,2250,6.0,1787.0,5293.0,154,176,130,0,26,285.0,37.0,1185,11,13,0,0,0,0,0
5099203,9,23,2,1823,1759,2028,2043,16.0,50.0,3392.0,305,344,281,0,24,150.0,155.0,2248,4,20,0,0,0,0,0
3222650,6,11,3,1831,1659,2129,2016,15.0,266.0,4417.0,118,137,99,1,92,157.0,80.0,862,6,13,0,0,0,0,73
1757069,3,1,6,1324,1300,1635,1631,5.0,1079.0,284.0,251,271,219,0,24,37.0,136.0,1597,8,24,0,0,0,0,0
1344962,3,30,7,1850,1640,1930,1658,13.0,5302.0,5016.0,100,78,69,1,130,73.0,210.0,264,8,23,0,130,22,0,0
431151,1,18,5,1351,1345,1549,1553,12.0,453.0,4021.0,118,128,98,0,6,181.0,199.0,700,8,12,0,0,0,0,0
2408112,5,9,5,1815,1750,1902,1845,17.0,332.0,857.0,47,55,35,1,25,20.0,76.0,189,6,6,17,0,0,0,0
252420,1,5,6,1055,1048,1351,1400,15.0,1485.0,2216.0,116,132,101,0,7,209.0,80.0,819,5,10,0,0,0,0,0
2015976,4,11,5,923,825,1039,1002,15.0,387.0,5031.0,136,157,122,1,58,80.0,204.0,957,3,11,37,0,0,0,0
6475243,12,6,6,1048,1040,1154,1155,17.0,2856.0,955.0,66,75,54,0,8,48.0,185.0,377,4,8,0,0,0,0,0
1995919,4,13,7,608,600,856,843,14.0,4083.0,1526.0,108,103,87,1,8,204.0,266.0,588,7,14,0,0,0,0,0
6074598,11,2,7,1609,1520,1848,1806,12.0,1733.0,1453.0,99,106,72,1,49,35.0,87.0,457,8,19,0,0,0,0,42
6823915,12,14,7,1721,1700,1901,1915,11.0,3513.0,2458.0,160,195,150,0,21,224.0,81.0,1068,4,6,0,0,0,0,0
6582135,12,3,3,1606,1558,1945,1933,19.0,2879.0,4811.0,159,155,138,1,8,220.0,136.0,1009,12,9,0,0,0,0,0
1857,1,3,4,1906,1840,2130,2105,17.0,2206.0,3296.0,144,145,125,1,26,258.0,155.0,866,7,12,10,0,0,0,15
6762173,12,1,1,2223,2132,2316,2238,7.0,5269.0,4845.0,113,126,95,1,51,18.0,286.0,674,3,15,0,0,0,0,38
1828616,4,14,1,1649,1600,1909,1820,17.0,1058.0,1446.0,140,140,126,1,49,224.0,284.0,873,4,10,49,0,0,0,0
1358718,3,8,6,1049,1012,1131,1051,14.0,6462.0,4780.0,42,39,18,1,37,80.0,68.0,72,7,17,0,0,0,0,40
5086371,9,12,5,738,630,853,752,16.0,330.0,3353.0,75,82,57,1,68,157.0,220.0,370,5,13,61,0,0,0,0
6453269,11,5,3,1750,1654,2023,1925,6.0,145.0,3104.0,153,151,100,1,56,96.0,18.0,745,34,19,0,0,2,0,56
796959,2,21,4,1129,1100,1244,1208,14.0,3972.0,2097.0,75,68,51,1,29,267.0,201.0,268,3,21,36,0,0,0,0
1132225,2,27,3,2029,1940,2252,2218,4.0,48.0,2646.0,143,158,123,1,49,104.0,150.0,1069,6,14,8,0,0,0,26
4073849,7,7,1,1024,1010,1332,1249,12.0,1675.0,4011.0,128,99,103,1,14,275.0,87.0,440,11,14,12,0,29,0,2
5862564,10,11,6,1654,1520,1859,1725,1.0,1757.0,1770.0,125,125,99,1,94,186.0,18.0,595,9,17,0,94,0,0,0
450710,1,18,5,1404,1349,1541,1531,12.0,1627.0,1324.0,97,102,75,0,15,87.0,150.0,508,8,14,0,0,0,0,0
3624425,7,9,3,1249,1240,1446,1450,17.0,3841.0,1541.0,177,190,163,0,9,48.0,130.0,1246,5,9,0,0,0,0,0
270094,1,11,5,1108,1101,1123,1118,16.0,135.0,4394.0,75,77,53,0,7,220.0,155.0,256,4,18,0,0,0,0,0
2792869,5,30,5,1109,1015,1150,1025,11.0,4071.0,3352.0,101,70,61,1,54,73.0,210.0,264,5,35,0,0,51,0,34
3719915,7,24,4,1031,1012,1236,1132,18.0,2477.0,471.0,125,80,59,1,19,136.0,116.0,376,5,61,0,19,45,0,0
3913967,7,1,2,1437,1430,1702,1735,17.0,886.0,2996.0,205,245,186,0,7,219.0,20.0,1430,5,14,0,0,0,0,0
847227,2,15,5,848,838,1117,1032,15.0,1614.0,2236.0,149,114,94,1,10,80.0,220.0,602,6,49,10,0,35,0,0
2910364,5,8,4,1627,1615,1744,1725,1.0,1920.0,2282.0,77,70,42,1,12,250.0,81.0,247,25,10,0,0,7,0,12
4117829,7,22,2,2042,2020,2313,2245,1.0,1074.0,2897.0,151,145,122,1,22,186.0,48.0,946,16,13,22,0,6,0,0
1858155,4,23,3,1610,1525,1751,1730,17.0,471.0,877.0,161,185,150,1,45,177.0,249.0,1040,3,8,0,0,0,0,21
4636288,8,20,3,1551,1535,1714,1655,11.0,3735.0,4794.0,83,80,58,1,16,161.0,81.0,351,15,10,0,0,3,0,16
1109113,2,8,5,1608,1523,1832,1729,3.0,541.0,4146.0,144,126,117,1,45,259.0,257.0,679,5,22,2,0,18,0,43
4587055,8,20,3,2022,2013,2105,2055,8.0,609.0,4330.0,163,162,134,0,9,140.0,80.0,977,18,11,0,0,0,0,0
6988721,12,8,1,108,100,547,540,5.0,1491.0,1593.0,159,160,138,0,8,155.0,136.0,1222,7,14,0,0,0,0,0
2237106,4,1,2,1722,1522,1956,1704,12.0,1761.0,4688.0,154,102,85,1,120,87.0,219.0,453,9,60,0,0,172,0,0
1789696,3,16,7,711,700,808,804,6.0,1621.0,5237.0,117,124,95,0,11,18.0,210.0,606,9,13,0,0,0,0,0
510429,1,11,5,1916,1845,2037,2025,1.0,1508.0,837.0,141,160,125,1,31,210.0,80.0,888,6,10,0,0,0,0,0
4474612,8,8,5,2104,2050,2353,2337,15.0,626.0,4592.0,109,107,79,1,14,210.0,79.0,612,3,27,14,0,2,0,0
3600220,6,16,1,1452,1430,1843,1726,6.0,1482.0,5338.0,231,176,134,1,22,162.0,177.0,950,11,86,22,0,55,0,0
3841589,7,7,1,1850,1615,2144,1913,15.0,338.0,2701.0,114,118,84,1,155,210.0,48.0,622,4,26,0,0,5,0,146
677514,2,24,7,2038,1940,2212,2125,17.0,1616.0,3980.0,94,105,83,1,58,275.0,76.0,546,4,7,4,0,0,0,43
1700525,3,12,3,716,710,810,810,1.0,1840.0,163.0,54,60,36,0,6,177.0,186.0,193,5,13,0,0,0,0,0
6104746,11,2,7,1546,1509,1644,1621,14.0,5532.0,1127.0,58,72,44,1,37,100.0,157.0,209,7,7,1,0,0,0,22
3771105,7,18,5,935,845,1113,1030,13.0,5627.0,2835.0,98,105,72,1,50,37.0,79.0,399,6,20,43,0,0,0,0
3227427,6,13,5,807,800,1027,1019,15.0,401.0,2489.0,260,259,229,0,7,162.0,80.0,1619,14,17,0,0,0,0,0
671044,2,22,5,945,925,1224,1110,17.0,187.0,857.0,159,105,58,1,20,219.0,237.0,336,2,99,8,0,54,0,12
3215246,6,2,1,916,855,1112,1116,15.0,33.0,3444.0,296,321,264,0,21,259.0,205.0,2338,4,28,0,0,0,0,0
2253117,4,4,5,1802,1750,1909,1837,0.0,5718.0,81.0,127,107,104,1,12,64.0,181.0,518,13,10,12,0,20,0,0
1911362,4,10,4,1812,1805,2029,1948,18.0,2741.0,696.0,137,103,50,1,7,96.0,211.0,284,6,81,7,0,34,0,0
6897459,12,8,1,1445,1350,2251,2220,1.0,176.0,1373.0,306,330,282,1,55,259.0,150.0,2586,7,17,0,0,1,0,30
6464718,11,14,5,2132,2010,2306,2138,6.0,90.0,342.0,94,88,67,1,82,18.0,177.0,403,7,20,0,9,6,0,73
6437480,11,15,6,1436,1430,1608,1607,5.0,135.0,1719.0,212,217,186,0,6,136.0,157.0,1379,6,20,0,0,0,0,0
1256173,3,27,4,1942,1935,46,55,17.0,2189.0,883.0,184,200,169,0,7,155.0,179.0,1521,3,12,0,0,0,0,0
6715785,12,19,5,1351,1345,1630,1614,16.0,1723.0,1966.0,159,149,144,1,6,177.0,219.0,861,6,9,0,0,16,0,0
2066814,4,19,6,7,2359,242,242,16.0,296.0,510.0,155,163,131,0,8,155.0,257.0,866,6,18,0,0,0,0,0
3161878,6,26,4,1930,1845,2218,2146,13.0,5034.0,3613.0,168,181,127,1,45,162.0,284.0,1011,6,35,0,32,0,0,0
5370871,9,4,4,1103,1022,1315,1239,6.0,1007.0,5217.0,132,137,89,1,41,219.0,18.0,665,8,35,0,0,0,0,36
1525072,3,30,7,2136,2125,2309,2246,7.0,4919.0,4959.0,93,81,53,1,11,18.0,139.0,377,4,36,11,0,12,0,0
885280,2,1,5,914,850,925,900,17.0,1306.0,4096.0,71,70,53,1,24,64.0,179.0,284,6,12,0,24,1,0,0
3481823,6,28,6,1345,1335,1710,1655,1.0,472.0,1816.0,145,140,122,1,10,81.0,18.0,732,9,14,10,0,5,0,0
971786,2,25,1,1206,1115,1250,1205,11.0,3416.0,2395.0,44,50,27,1,51,81.0,118.0,134,3,14,45,0,0,0,0
337071,1,1,2,1651,1643,1716,1715,7.0,4605.0,3211.0,85,92,60,0,8,18.0,217.0,247,4,21,0,0,0,0,0
1279152,3,22,6,1021,1015,1137,1151,18.0,7441.0,396.0,76,96,60,0,6,157.0,288.0,451,4,12,0,0,0,0,0
1404550,3,14,5,1759,1722,1924,1900,15.0,251.0,2701.0,145,158,124,1,37,210.0,80.0,888,7,14,0,0,0,0,24
3481606,6,13,5,1025,1000,1127,1100,1.0,465.0,2276.0,122,120,93,1,25,79.0,210.0,612,7,22,0,0,27,0,0
959184,2,8,5,912,905,1334,1315,10.0,6.0,2863.0,382,370,352,1,7,155.0,129.0,2762,6,24,12,0,0,0,7
4122094,7,8,2,2153,2035,101,2330,1.0,1222.0,1754.0,188,175,156,1,78,186.0,162.0,1097,21,11,0,0,91,0,0
787778,2,15,5,1359,1352,1447,1447,14.0,5747.0,2671.0,48,55,41,0,7,216.0,257.0,129,2,5,0,0,0,0,0
