,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1251307,3,25,2,1124,1115,1221,1215,17.0,1091.0,4804.0,57,60,45,0,9,275.0,179.0,251,5,7,0,0,0,0,0
4750566,8,9,6,1152,1130,1555,1520,1.0,1685.0,2952.0,183,170,153,1,22,81.0,186.0,1121,7,23,22,0,13,0,0
6773048,12,13,6,1226,1210,1405,1355,7.0,5607.0,3956.0,99,105,79,0,16,51.0,18.0,528,7,13,0,0,0,0,0
58354,1,21,1,2046,1950,2158,2045,17.0,1270.0,3269.0,132,115,103,1,56,80.0,155.0,629,4,25,7,0,17,0,49
6648930,12,26,5,1759,1709,2026,1937,14.0,6168.0,3916.0,87,88,71,1,50,80.0,206.0,495,3,13,0,0,0,0,49
4023045,7,14,1,1818,1800,2043,2015,11.0,4002.0,4597.0,85,75,48,1,18,210.0,64.0,296,11,26,18,0,10,0,0
4012679,7,30,3,1545,1335,1718,1450,11.0,3604.0,2359.0,93,75,60,1,130,81.0,259.0,364,8,25,122,0,18,0,8
3024615,6,11,3,802,755,1027,1035,17.0,3486.0,1845.0,145,160,135,0,7,179.0,249.0,1036,2,8,0,0,0,0,0
4733224,8,29,5,2034,1930,1,2305,1.0,1054.0,2919.0,147,155,129,1,64,210.0,177.0,1005,4,14,0,0,6,0,50
5543786,10,8,3,2027,2010,2123,2115,14.0,3804.0,4365.0,116,125,100,0,17,267.0,204.0,588,5,11,0,0,0,0,0
3739595,7,2,3,819,724,914,830,19.0,7088.0,4002.0,115,126,94,1,55,281.0,210.0,607,7,14,44,0,0,0,0
4381839,8,26,2,1433,1300,1845,1646,19.0,2673.0,5098.0,192,166,145,1,93,250.0,63.0,1095,22,25,119,0,0,0,0
6832716,12,1,1,1616,1500,1716,1610,11.0,3922.0,2465.0,120,130,103,1,76,79.0,210.0,612,7,10,0,0,6,0,60
4807950,8,28,4,1239,1200,1421,1404,5.0,1430.0,1338.0,282,304,253,1,39,96.0,220.0,2133,11,18,17,0,0,0,0
3556815,6,10,2,955,925,1102,1030,5.0,412.0,4185.0,67,65,46,1,30,81.0,136.0,224,4,17,0,0,2,0,30
420492,1,8,2,1004,955,1111,1110,11.0,4803.0,3690.0,67,75,46,0,9,37.0,162.0,185,7,14,0,0,0,0,0
5437171,10,19,7,1557,1550,1702,1655,17.0,214.0,1210.0,65,65,36,0,7,155.0,209.0,197,4,25,0,0,0,0,0
513569,1,2,3,1019,1005,1152,1140,1.0,1652.0,1779.0,153,155,118,1,14,18.0,81.0,732,12,23,0,0,0,0,0
4668535,8,14,4,1850,1730,11,2256,12.0,308.0,1471.0,201,206,187,1,80,157.0,199.0,1536,3,11,7,0,0,0,68
3804638,7,16,3,1546,1537,1848,1846,14.0,5876.0,4077.0,122,129,104,0,9,80.0,249.0,794,6,12,0,0,0,0,0
1353994,3,5,3,1404,1355,1721,1730,14.0,6643.0,3922.0,137,155,125,0,9,93.0,80.0,997,5,7,0,0,0,0,0
5978327,11,14,5,1858,1810,2018,1940,17.0,414.0,1840.0,80,90,71,1,48,175.0,76.0,461,3,6,1,0,0,0,37
705524,2,19,2,2108,1955,2315,2227,18.0,2388.0,553.0,127,152,110,1,73,96.0,293.0,631,3,14,0,0,0,0,48
2127946,4,13,7,1132,1126,1234,1229,7.0,4877.0,4446.0,62,63,44,0,6,50.0,18.0,191,7,11,0,0,0,0,0
2420216,5,12,1,1820,1800,2008,2005,17.0,2553.0,1682.0,108,125,98,0,20,220.0,258.0,651,4,6,0,0,0,0,0
3544259,6,13,5,2101,2050,2230,2227,4.0,1285.0,763.0,89,97,72,0,11,37.0,240.0,474,5,12,0,0,0,0,0
6269558,11,24,1,1514,1506,1703,1648,9.0,184.0,5142.0,109,102,91,1,8,248.0,18.0,515,9,9,8,0,7,0,0
4462869,8,21,4,936,930,1147,1152,15.0,277.0,1974.0,251,262,207,0,6,162.0,80.0,1619,5,39,0,0,0,0,0
4097686,7,9,3,736,700,1023,955,1.0,57.0,1604.0,347,355,320,1,36,150.0,258.0,2586,3,24,28,0,0,0,0
6504857,12,15,1,937,930,1509,1530,17.0,1252.0,829.0,212,240,199,0,7,204.0,179.0,1844,5,8,0,0,0,0,0
2673809,5,23,5,1954,1945,2215,2211,16.0,965.0,4966.0,141,146,115,0,9,219.0,177.0,861,8,18,0,0,0,0,0
1087732,2,18,1,1931,1905,2138,2130,1.0,1672.0,2972.0,247,265,227,0,26,210.0,270.0,1726,7,13,0,0,0,0,0
737576,2,15,5,1944,1934,2052,2032,19.0,2852.0,5341.0,68,58,26,1,10,220.0,103.0,119,2,40,20,0,0,0,0
6569888,12,14,7,2104,2005,2327,2204,18.0,2660.0,483.0,143,119,88,1,59,87.0,96.0,487,34,21,0,0,24,0,59
758099,2,18,1,1810,1755,2020,2012,13.0,5430.0,5226.0,130,137,121,0,15,13.0,73.0,623,3,6,0,0,0,0,0
1378118,3,20,4,1107,1040,1215,1134,14.0,5495.0,1127.0,68,54,34,1,27,157.0,269.0,135,4,30,41,0,0,0,0
6545087,12,28,7,2052,2015,1,2325,17.0,3483.0,2184.0,189,190,172,1,37,185.0,177.0,1142,7,10,36,0,0,0,0
1559189,3,30,7,1153,1143,1238,1234,10.0,180.0,2215.0,45,51,31,0,10,129.0,145.0,216,4,10,0,0,0,0,0
3490371,6,4,3,1620,1600,1853,1845,1.0,872.0,1855.0,93,105,72,0,20,2.0,81.0,569,10,11,0,0,0,0,0
5065592,9,10,3,1449,1429,1602,1557,15.0,1195.0,1937.0,73,88,54,0,20,24.0,135.0,326,7,12,0,0,0,0,0
4101472,7,22,2,1747,1730,2008,1910,1.0,343.0,2597.0,201,160,126,1,17,162.0,210.0,733,5,70,0,0,41,0,17
3989609,7,27,7,1704,1647,1743,1732,9.0,545.0,5007.0,99,105,73,1,17,18.0,34.0,533,2,24,0,0,0,0,0
2933391,5,2,5,2115,1950,2313,2147,4.0,1220.0,1097.0,118,117,98,1,85,238.0,37.0,612,5,15,0,0,86,0,0
6778984,12,21,7,1627,1540,1857,1825,7.0,5055.0,3556.0,90,105,75,1,47,287.0,73.0,646,9,6,1,0,0,0,31
838125,2,5,2,1333,1315,1416,1400,15.0,1091.0,1863.0,103,105,81,1,18,287.0,80.0,541,10,12,0,0,0,0,16
3622230,7,8,2,2025,1950,2253,2225,17.0,536.0,2193.0,148,155,135,1,35,177.0,143.0,972,5,8,0,0,14,0,14
3358091,6,14,6,1403,1315,1627,1533,9.0,522.0,5187.0,84,78,54,1,48,181.0,18.0,332,7,23,0,0,54,0,0
3575735,6,5,4,1837,1723,2108,2008,5.0,1073.0,414.0,211,225,181,1,74,219.0,136.0,1324,5,25,0,0,0,0,60
1536908,3,5,3,1628,1621,1812,1815,9.0,818.0,1085.0,164,174,146,0,7,248.0,179.0,1105,7,11,0,0,0,0,0
2375993,4,6,7,2024,1850,2355,2157,6.0,1677.0,4818.0,211,187,186,1,94,37.0,284.0,1185,8,17,0,0,24,0,94
6511476,12,17,3,2258,2135,2358,2240,17.0,646.0,3938.0,60,65,47,1,83,179.0,274.0,251,4,9,41,0,0,0,37
3651953,7,17,4,2031,2010,30,15,17.0,724.0,816.0,179,185,168,1,21,130.0,48.0,1246,3,8,9,0,0,0,6
3368944,6,28,6,2008,1933,2213,2218,9.0,355.0,5040.0,125,165,104,0,35,162.0,18.0,761,10,11,0,0,0,0,0
3014296,6,8,7,2015,1900,2332,2135,17.0,1828.0,4839.0,317,275,263,1,75,179.0,263.0,1838,7,47,75,0,42,0,0
4243126,8,5,2,2221,1940,14,2125,17.0,3897.0,1472.0,113,105,91,1,161,285.0,237.0,587,7,15,0,0,8,0,161
3214132,6,30,1,1131,842,1235,959,14.0,6479.0,5196.0,64,77,49,1,169,157.0,263.0,308,4,11,156,0,0,0,0
3412959,6,6,5,1332,1310,1654,1645,11.0,4502.0,4580.0,142,155,128,0,22,181.0,186.0,860,5,9,0,0,0,0,0
5971653,11,12,3,1852,1835,2045,2110,17.0,556.0,1070.0,233,275,217,0,17,179.0,157.0,1750,7,9,0,0,0,0,0
6824619,12,16,2,1315,1230,1428,1325,11.0,3542.0,3080.0,73,55,31,1,45,81.0,261.0,190,5,37,0,45,18,0,0
4016691,7,10,4,1708,1650,1844,1810,11.0,3758.0,989.0,96,80,82,1,18,81.0,259.0,364,2,12,18,0,16,0,0
4966099,9,11,4,1440,1422,1620,1527,19.0,2638.0,5046.0,100,65,45,1,18,63.0,250.0,213,6,49,53,0,0,0,0
2718356,5,5,1,1509,1451,1733,1718,7.0,4504.0,4610.0,144,147,116,1,18,18.0,279.0,784,4,24,15,0,0,0,0
3010659,6,7,6,1601,1535,1728,1715,17.0,588.0,3585.0,87,100,72,1,26,155.0,258.0,414,6,9,0,0,0,0,0
2331241,4,11,5,1926,1705,2243,2008,4.0,508.0,2766.0,197,183,162,1,141,104.0,96.0,1065,6,29,0,0,155,0,0
7002557,12,7,7,751,745,1502,1509,6.0,1773.0,3060.0,251,264,221,0,6,271.0,18.0,1919,9,21,0,0,0,0,0
6722935,12,25,4,2126,2113,2328,2320,16.0,675.0,4373.0,122,127,96,0,13,220.0,36.0,735,9,17,0,0,0,0,0
523007,1,6,7,758,750,1430,1425,1.0,2052.0,3216.0,272,275,249,0,8,210.0,265.0,2072,7,16,0,0,0,0,0
6267352,11,21,5,1814,1719,2055,2010,9.0,383.0,5142.0,101,111,78,1,55,190.0,18.0,633,15,8,45,0,0,0,0
4943658,9,28,7,1449,1438,1650,1650,18.0,2048.0,381.0,181,192,170,0,11,211.0,136.0,1201,4,7,0,0,0,0,0
4411,1,4,5,948,930,1110,1035,17.0,1167.0,3610.0,82,65,48,1,18,204.0,47.0,325,2,32,0,0,17,0,18
65355,1,23,3,1106,1100,1319,1320,17.0,2708.0,1347.0,133,140,120,0,6,111.0,155.0,806,4,9,0,0,0,0,0
3126773,6,3,2,1948,1940,2151,2050,19.0,7009.0,2858.0,123,70,50,1,8,120.0,135.0,239,5,68,0,0,61,0,0
6971414,12,31,3,1159,1130,1710,1635,5.0,372.0,985.0,191,185,160,1,29,249.0,136.0,1303,7,24,29,0,6,0,0
5902746,10,30,4,1219,1210,1803,1755,5.0,1888.0,4202.0,224,225,209,0,9,269.0,136.0,1609,6,9,0,0,0,0,0
2966816,5,22,4,848,835,940,930,5.0,1578.0,568.0,52,55,26,0,13,136.0,20.0,140,6,20,0,0,0,0,0
2266,1,3,4,1337,1155,1518,1400,17.0,3323.0,846.0,221,245,208,1,102,285.0,80.0,1506,6,7,6,0,0,0,72
2753769,5,19,1,1039,1032,1253,1248,9.0,990.0,5349.0,134,136,120,0,7,177.0,224.0,834,4,10,0,0,0,0,0
729689,2,4,1,1520,1430,1643,1524,19.0,2862.0,622.0,83,54,31,1,50,220.0,301.0,160,8,44,0,0,79,0,0
5546410,10,29,3,1013,1004,1254,1256,14.0,3900.0,4398.0,101,112,82,0,9,259.0,266.0,599,6,13,0,0,0,0,0
3853652,7,31,4,1828,1805,1942,1936,15.0,682.0,1937.0,74,91,59,0,23,210.0,199.0,334,3,12,0,0,0,0,0
4567584,8,8,5,1024,1011,1145,1130,7.0,4509.0,3576.0,81,79,58,1,13,257.0,18.0,321,11,12,13,0,2,0,0
6901834,12,27,6,1351,1340,1600,1505,1.0,409.0,2320.0,129,85,67,1,11,210.0,199.0,334,3,59,0,0,44,0,11
3369242,6,29,7,13,2259,113,2359,9.0,355.0,5325.0,60,60,42,1,74,18.0,57.0,259,4,14,0,0,0,0,74
2423347,5,13,2,1736,1730,1844,1840,17.0,2199.0,1623.0,68,70,58,0,6,209.0,204.0,361,5,5,0,0,0,0,0
226010,1,22,2,1527,1518,2307,2323,15.0,292.0,1986.0,280,305,261,0,9,259.0,48.0,2457,4,15,0,0,0,0,0
2152325,4,20,7,1443,1434,1720,1642,9.0,343.0,1209.0,157,128,93,1,9,219.0,18.0,665,7,57,0,0,29,0,9
5998469,11,20,4,2027,1905,2204,2050,17.0,2435.0,3585.0,97,105,85,1,82,211.0,149.0,543,5,7,1,0,0,0,73
4536492,8,2,6,1225,1210,1423,1425,17.0,1033.0,4210.0,298,315,285,0,15,48.0,248.0,2295,4,9,0,0,0,0,0
4110543,7,25,5,1515,1450,1812,1755,1.0,690.0,2288.0,237,245,204,1,25,37.0,81.0,1562,14,19,8,0,0,0,9
1144545,2,6,3,1718,1630,1904,1746,5.0,1176.0,1359.0,106,76,52,1,48,96.0,37.0,200,12,42,0,0,33,0,45
5679236,10,28,2,1710,1650,2035,1955,6.0,683.0,1727.0,205,185,170,1,20,285.0,150.0,1005,12,23,0,0,40,0,0
986100,2,7,4,1814,1735,1922,1845,11.0,4045.0,3233.0,68,70,51,1,39,247.0,210.0,268,8,9,2,0,0,0,35
1574933,3,20,4,1455,1445,1537,1530,11.0,3637.0,3657.0,42,45,30,0,10,118.0,81.0,134,4,8,0,0,0,0,0
6920257,12,16,2,2000,1930,2246,2220,1.0,1270.0,2452.0,106,110,88,1,30,80.0,81.0,641,5,13,0,0,0,0,26
2141775,4,6,7,1855,1731,2110,1939,9.0,581.0,5268.0,135,128,117,1,84,245.0,18.0,749,8,10,0,0,7,0,84
3673107,7,23,3,1214,1155,1333,1315,17.0,2979.0,4944.0,79,80,65,1,19,200.0,76.0,437,3,11,11,0,0,0,7
2321702,4,22,2,1044,1025,1302,1248,3.0,434.0,5130.0,138,143,123,1,19,216.0,157.0,834,5,10,0,0,0,0,0
667222,2,21,4,1630,1610,1748,1735,17.0,3302.0,874.0,78,85,68,1,20,200.0,35.0,471,4,6,0,0,0,0,0
2101852,4,27,7,2017,1954,2212,2152,6.0,1075.0,3528.0,295,298,275,1,23,18.0,268.0,2092,6,14,20,0,0,0,0
754525,2,12,2,2150,2115,2305,2147,13.0,5219.0,4978.0,135,92,70,1,35,73.0,59.0,419,5,60,0,35,43,0,0
1833973,4,16,3,1703,1655,2005,1955,17.0,35.0,4096.0,122,120,105,0,8,130.0,284.0,781,5,12,0,0,0,0,0
2041347,4,21,1,1901,1830,2248,2221,15.0,1559.0,1886.0,167,171,141,1,31,210.0,215.0,1144,5,21,7,0,0,0,20
3423822,6,6,5,1908,1850,2229,2155,12.0,243.0,1350.0,201,185,151,1,18,104.0,87.0,1127,37,13,0,0,16,0,18
3895945,7,19,6,1601,1540,1753,1712,16.0,469.0,4503.0,112,92,69,1,21,259.0,155.0,414,11,32,0,0,20,0,21
116205,1,10,4,1436,1425,1634,1610,18.0,2809.0,471.0,118,105,93,1,11,181.0,136.0,469,9,16,0,0,13,0,11
4204624,7,4,5,1326,1315,1724,1644,5.0,783.0,3934.0,178,149,112,1,11,136.0,177.0,853,5,61,1,0,29,0,10
16144,1,8,2,1154,1135,1249,1235,17.0,3070.0,3756.0,55,60,35,1,19,104.0,177.0,178,6,14,0,0,0,0,0
1056166,2,23,6,33,2320,818,700,1.0,274.0,1747.0,285,280,251,1,73,157.0,186.0,2342,10,24,22,0,5,0,51
3784005,7,2,3,949,900,1259,1220,14.0,6540.0,5191.0,130,140,113,1,49,47.0,80.0,850,7,10,0,0,0,0,39
6801293,12,19,5,1300,1248,1410,1407,9.0,726.0,5070.0,70,79,57,0,12,77.0,48.0,406,5,8,0,0,0,0,0
4706719,8,21,4,2007,1935,2120,2055,0.0,5782.0,60.0,73,80,49,1,32,181.0,116.0,324,6,18,25,0,0,0,0
6580727,12,1,1,1652,1559,2002,1859,19.0,7221.0,2381.0,130,120,97,1,53,210.0,211.0,717,2,31,0,0,10,0,53
2520216,5,3,6,1654,1640,1734,1712,19.0,1002.0,3626.0,40,32,24,1,14,205.0,129.0,100,4,12,22,0,0,0,0
5442522,10,20,1,2023,2000,2258,2235,17.0,925.0,972.0,155,155,137,1,23,285.0,143.0,1034,10,8,3,0,0,0,20
1539739,3,9,7,1249,941,1502,1202,9.0,392.0,5309.0,133,141,113,1,188,177.0,140.0,828,10,10,0,0,0,0,180
6908159,12,22,1,942,910,1315,1250,1.0,687.0,1111.0,153,160,139,1,32,81.0,240.0,1158,5,9,25,0,0,0,0
702032,2,14,4,2141,2130,2312,2258,18.0,7476.0,614.0,91,88,56,1,11,157.0,258.0,337,19,16,0,0,0,0,0
1190657,3,7,5,1955,1850,2219,2055,17.0,1537.0,4169.0,144,125,125,1,65,211.0,177.0,655,9,10,0,26,19,0,39
3701399,7,31,4,2141,2015,45,2330,17.0,3072.0,1969.0,124,135,112,1,86,275.0,177.0,880,5,7,75,0,0,0,0
919904,2,7,4,2050,2014,2239,2219,7.0,4492.0,4673.0,109,125,83,1,36,18.0,22.0,714,4,22,20,0,0,0,0
1143990,2,19,2,1944,1935,2232,2236,5.0,1695.0,2743.0,168,181,136,0,9,104.0,96.0,1065,12,20,0,0,0,0,0
335454,1,10,4,1611,1600,1928,1916,7.0,4548.0,4630.0,137,136,121,1,11,207.0,18.0,821,7,9,0,0,0,0,0
374818,1,10,4,1437,1430,2132,2150,10.0,14.0,2758.0,295,320,281,0,7,129.0,248.0,2614,2,12,0,0,0,0,0
2606554,5,24,6,1420,1410,1633,1645,15.0,45.0,3516.0,313,335,298,0,10,157.0,205.0,2486,4,11,0,0,0,0,0
5677823,10,27,1,1702,1654,1948,1926,6.0,145.0,3281.0,166,152,119,1,8,96.0,18.0,745,12,35,0,0,14,0,8
5391019,10,5,7,1859,1835,2111,2055,17.0,570.0,905.0,72,80,63,1,24,91.0,249.0,496,3,6,0,0,0,0,16
1136126,2,26,2,1803,1722,2110,2015,5.0,1073.0,3643.0,247,233,198,1,41,219.0,136.0,1324,9,40,0,0,14,0,41
1224621,3,17,1,1836,1830,1939,1940,17.0,2610.0,999.0,63,70,55,0,6,289.0,248.0,367,3,5,0,0,0,0,0
2289207,4,28,1,2147,1855,39,2145,1.0,1324.0,2280.0,172,170,158,1,172,162.0,177.0,950,3,11,0,0,2,0,172
6146544,11,13,4,1431,1400,1814,1722,15.0,681.0,4500.0,163,142,107,1,31,210.0,162.0,733,5,51,0,0,52,0,0
4922588,9,26,5,17,2055,119,2215,17.0,1792.0,2511.0,62,80,38,1,202,219.0,232.0,238,4,20,0,0,0,0,184
5955035,11,7,5,1833,1650,147,10,17.0,1306.0,1939.0,254,260,238,1,103,155.0,135.0,2066,4,12,0,0,20,0,77
4309696,8,25,1,1049,1015,1208,1140,17.0,1855.0,823.0,79,85,69,1,34,271.0,268.0,404,3,7,0,0,0,0,28
1107222,2,4,1,1223,1120,1257,1204,3.0,63.0,4203.0,34,44,25,1,63,230.0,151.0,123,4,5,0,0,0,0,53
5628333,10,9,4,2247,2240,546,549,16.0,791.0,620.0,239,249,220,0,7,155.0,63.0,1916,4,15,0,0,0,0,0
3841547,7,27,7,1227,1134,1424,1319,15.0,337.0,2581.0,177,165,146,1,53,80.0,257.0,1024,6,25,53,0,12,0,0
497978,1,2,3,1236,1120,1834,1659,1.0,1078.0,2299.0,238,219,200,1,76,155.0,210.0,1515,20,18,0,0,76,0,19
5431498,10,17,5,1214,1205,1759,1755,17.0,68.0,1887.0,225,230,207,0,9,157.0,35.0,1797,5,13,0,0,0,0,0
1446725,3,8,6,1320,1310,1511,1518,16.0,1084.0,5115.0,111,128,92,0,10,63.0,37.0,728,7,12,0,0,0,0,0
3405303,6,25,3,1742,1720,1805,1745,11.0,4203.0,4464.0,83,85,67,1,22,61.0,210.0,316,5,11,0,0,4,0,16
1592381,3,27,4,2146,1835,2337,2025,11.0,4331.0,3359.0,111,110,86,1,191,35.0,210.0,409,16,9,0,0,147,0,45
956067,2,25,1,1827,1809,2041,2019,9.0,491.0,4957.0,134,130,112,1,18,285.0,48.0,842,8,14,18,0,4,0,0
5953437,11,6,4,1258,1240,1417,1420,17.0,1622.0,1002.0,79,100,66,0,18,267.0,220.0,507,2,11,0,0,0,0,0
6899857,12,10,3,2045,2030,2357,2330,1.0,334.0,2954.0,132,120,91,1,15,210.0,162.0,733,13,28,0,0,12,0,15
3494237,6,3,2,1324,1305,1549,1505,1.0,1093.0,2418.0,205,180,172,1,19,135.0,81.0,1172,13,20,10,0,25,0,9
1897387,4,2,3,1905,1850,2148,2128,18.0,2374.0,820.0,163,158,118,1,15,96.0,256.0,642,6,39,2,0,5,0,13
2418172,5,12,1,1247,1230,1419,1410,17.0,452.0,860.0,92,100,78,0,17,48.0,256.0,495,4,10,0,0,0,0,0
6852782,12,21,7,1150,1120,1350,1307,12.0,185.0,1479.0,240,227,216,1,30,199.0,248.0,1532,3,21,7,0,13,0,23
5533331,10,21,2,1800,1725,2136,2110,13.0,6410.0,1438.0,156,165,123,1,35,29.0,162.0,866,6,27,0,0,26,0,0
6426202,11,30,7,1444,1355,1647,1537,4.0,1251.0,998.0,123,102,84,1,49,37.0,135.0,413,6,33,15,0,21,0,34
992442,2,17,7,835,715,1013,830,11.0,4298.0,3185.0,98,75,61,1,80,94.0,210.0,273,19,18,0,0,103,0,0
1477457,3,1,6,1017,1005,1130,1125,17.0,177.0,1529.0,133,140,119,0,12,48.0,274.0,737,5,9,0,0,0,0,0
3004963,6,5,4,714,705,930,935,17.0,1848.0,3389.0,136,150,118,0,9,219.0,177.0,861,7,11,0,0,0,0,0
460837,1,4,5,632,600,856,810,0.0,3737.0,115.0,144,130,86,1,32,45.0,87.0,536,15,43,32,0,14,0,0
5889650,10,7,2,1335,1315,1609,1605,4.0,55.0,2713.0,154,170,133,0,20,150.0,215.0,1028,3,18,0,0,0,0,0
212347,1,28,1,1557,1431,1702,1537,14.0,5437.0,2700.0,65,66,44,1,86,259.0,253.0,191,4,17,0,0,0,0,85
2562494,5,4,7,1649,1629,1841,1758,14.0,6472.0,3838.0,172,149,138,1,20,68.0,157.0,833,12,22,0,0,23,0,20
4455894,8,25,1,1254,905,1531,1124,15.0,57.0,2627.0,337,319,295,1,229,259.0,152.0,2367,2,40,229,0,18,0,0
104672,1,4,5,639,630,823,800,18.0,2441.0,357.0,104,90,57,1,9,224.0,96.0,319,11,36,0,0,23,0,0
5958048,11,8,6,731,700,818,755,17.0,1297.0,4140.0,107,115,91,1,31,135.0,179.0,577,5,11,23,0,0,0,0
4750423,8,16,6,1549,1405,1657,1515,1.0,1680.0,2073.0,68,70,39,1,104,136.0,81.0,224,10,19,0,2,0,0,100
4239735,8,5,2,2205,2100,2259,2110,17.0,191.0,1425.0,114,70,68,1,65,2.0,220.0,328,6,40,0,0,44,0,65
516723,1,17,4,1919,1910,2325,2320,1.0,1769.0,1817.0,186,190,167,0,9,81.0,24.0,1471,7,12,0,0,0,0,0
3519138,6,18,3,721,715,957,940,1.0,2122.0,1755.0,156,145,133,1,6,79.0,186.0,920,8,15,6,0,11,0,0
6713055,12,17,3,747,655,1029,825,16.0,291.0,3451.0,342,270,291,1,52,87.0,155.0,1750,4,47,52,0,72,0,0
971005,2,11,1,914,635,1138,910,11.0,3381.0,3262.0,144,155,128,1,159,197.0,81.0,821,8,8,148,0,0,0,0
1875306,4,28,1,2212,2115,54,2355,17.0,1585.0,1904.0,162,160,137,1,57,219.0,177.0,861,4,21,0,0,2,0,57
4805672,8,18,1,1838,1810,2138,2139,5.0,781.0,3865.0,360,389,310,0,28,96.0,216.0,2433,8,42,0,0,0,0,0
222712,1,24,4,2232,2225,636,642,15.0,164.0,2601.0,304,317,281,0,7,157.0,37.0,2611,5,18,0,0,0,0,0
6572547,12,10,3,2018,1905,255,2047,18.0,2037.0,588.0,397,102,75,1,73,136.0,29.0,562,3,319,0,73,295,0,0
2235711,4,7,1,1740,1712,1826,1807,12.0,1706.0,3962.0,46,55,33,1,28,119.0,87.0,120,8,5,0,0,0,0,19
4137569,7,29,2,1830,1820,1946,1935,1.0,1793.0,2266.0,76,75,57,1,10,157.0,258.0,337,5,14,0,0,0,0,0
1106602,2,2,6,1142,1120,1217,1204,3.0,63.0,4136.0,35,44,27,1,22,230.0,151.0,123,3,5,0,0,0,0,0
678521,2,25,1,1525,1115,1744,1335,17.0,2452.0,827.0,79,80,64,1,250,91.0,249.0,496,3,12,6,0,0,0,243
49921,1,18,5,2146,2100,2244,2200,17.0,3226.0,1859.0,58,60,43,1,46,155.0,248.0,258,5,10,3,0,0,0,41
3224904,6,25,3,1138,1132,1325,1317,15.0,337.0,3463.0,167,165,143,0,6,80.0,257.0,1024,10,14,0,0,0,0,0
1218292,3,16,7,1548,1540,1653,1645,17.0,1407.0,1431.0,65,65,50,0,8,48.0,24.0,283,5,10,0,0,0,0,0
6953954,12,30,2,1322,1315,1602,1610,3.0,553.0,3977.0,160,175,148,0,7,231.0,257.0,987,4,8,0,0,0,0,0
685239,2,27,3,1325,1310,1436,1425,17.0,1317.0,4164.0,71,75,58,1,15,76.0,200.0,437,5,8,0,0,0,0,0
6092359,11,15,6,1248,1231,1424,1421,14.0,4439.0,4301.0,156,170,141,0,17,199.0,266.0,991,7,8,0,0,0,0,0
5691750,10,15,3,1423,1240,1735,1542,7.0,5295.0,3961.0,132,122,102,1,103,206.0,18.0,761,6,24,3,0,10,0,100
336416,1,20,7,1727,1720,2013,1936,7.0,4581.0,4662.0,166,136,93,1,7,119.0,18.0,640,19,54,7,0,30,0,0
471390,1,7,1,757,1900,1018,2045,0.0,5790.0,11.0,141,105,72,1,777,181.0,197.0,559,30,39,0,777,36,0,0
2889173,5,2,5,910,835,1100,1015,1.0,1139.0,1953.0,110,100,76,1,35,81.0,207.0,583,6,28,2,0,10,0,33
765078,2,1,5,1810,1630,2110,1930,14.0,2799.0,2157.0,120,120,91,1,100,187.0,48.0,641,4,25,100,0,0,0,0
619930,2,7,4,1815,1745,2058,2030,17.0,787.0,1171.0,103,105,88,1,30,35.0,177.0,616,7,8,14,0,0,0,14
3152004,6,9,1,1820,1740,2029,1957,13.0,5104.0,1545.0,129,137,112,1,40,233.0,73.0,722,3,14,32,0,0,0,0
2379894,4,9,3,1557,1530,1849,1833,6.0,1868.0,5290.0,112,123,94,1,27,175.0,18.0,692,9,9,16,0,0,0,0
1060500,2,28,4,1640,1230,41,2045,1.0,440.0,1414.0,301,315,284,1,250,259.0,186.0,2585,5,12,216,0,0,0,20
2689495,5,2,5,1202,1130,1301,1245,17.0,606.0,1987.0,59,75,50,1,32,200.0,29.0,321,2,7,3,0,0,0,13
5117134,9,18,4,1901,1755,2014,1908,6.0,1095.0,3104.0,133,133,108,1,66,18.0,81.0,732,3,22,66,0,0,0,0
1158889,2,1,5,2108,2056,2227,2158,6.0,1265.0,4864.0,79,62,37,1,12,18.0,57.0,259,12,30,3,0,17,0,9
4498767,8,4,1,212,2115,348,2301,16.0,17.0,3337.0,216,226,204,1,297,210.0,155.0,1515,5,7,90,0,0,0,197
3234808,6,11,3,1833,1805,2125,2056,15.0,622.0,4385.0,112,111,84,1,28,210.0,79.0,612,4,24,6,0,1,0,22
4729780,8,11,1,1032,755,1311,1035,1.0,843.0,2897.0,159,160,137,1,157,276.0,186.0,1107,13,9,156,0,0,0,0
6193393,11,28,5,1005,955,1325,1312,16.0,540.0,3314.0,140,137,103,1,10,220.0,81.0,868,7,30,0,0,0,0,0
3603624,6,19,4,1321,1300,1553,1520,6.0,838.0,4843.0,152,140,121,1,21,96.0,18.0,745,12,19,0,0,12,0,21
3595086,6,12,4,1955,1750,2223,2008,6.0,1231.0,5264.0,148,138,82,1,125,162.0,73.0,585,4,62,0,0,10,0,125
1122479,2,10,7,1523,1515,1857,1845,4.0,453.0,2646.0,214,210,193,1,8,37.0,104.0,1237,3,18,0,0,0,0,0
5617767,10,9,4,1422,1148,1706,1446,15.0,1621.0,2102.0,104,118,78,1,154,155.0,80.0,629,4,22,15,0,0,0,125
